,click_agent,clicker_id,ip_address,link_id,time_clicked,user_id
0,Opera/9.79.(X11; Linux x86_64; it-IT) Presto/2.9.168 Version/10.00,5,10,4,2015-02-13 10:12:08,5
1,Opera/9.94.(X11; Linux i686; en-US) Presto/2.9.163 Version/12.00,4,10,1,2015-02-15 19:41:39,9
2,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; en-US) AppleWebKit/531.40.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.40.1",8,10,9,2015-02-08 19:13:14,8
3,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/535.4.5 (KHTML, like Gecko) Version/5.1 Safari/535.4.5",7,10,4,2015-02-09 07:09:03,5
4,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; sl-SI) AppleWebKit/535.19.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.19.2",4,10,5,2015-02-10 23:36:04,5
5,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8; rv:1.9.2.20) Gecko/2010-03-16 05:04:57 Firefox/3.6.13,8,10,8,2015-02-19 04:14:24,5
6,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5350 (KHTML, like Gecko) Chrome/14.0.838.0 Safari/5350",1,10,2,2015-02-18 18:29:10,7
7,Opera/8.71.(X11; Linux i686; it-IT) Presto/2.9.181 Version/12.00,4,10,5,2015-02-14 20:08:38,8
8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4 rv:2.0; sl-SI) AppleWebKit/531.41.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.41.2",8,10,7,2015-02-05 02:30:52,4
9,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.1),0,10,10,2015-02-06 20:23:46,6
10,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5350 (KHTML, like Gecko) Chrome/15.0.864.0 Safari/5350",0,10,3,2015-01-31 11:55:21,4
11,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2015-02-04 14:02:32 Firefox/3.8,6,10,2,2015-02-12 00:31:32,5
12,Mozilla/5.0 (Windows NT 6.1; en-US; rv:1.9.1.20) Gecko/2014-01-28 17:20:22 Firefox/3.6.7,4,10,5,2015-02-12 10:37:03,4
13,Opera/8.97.(Windows NT 5.01; en-US) Presto/2.9.172 Version/11.00,0,10,2,2015-02-15 05:13:27,9
14,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),8,10,2,2015-02-09 10:19:23,8
15,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5351 (KHTML, like Gecko) Chrome/14.0.826.0 Safari/5351",7,10,7,2015-02-05 09:40:39,8
16,Opera/9.81.(X11; Linux x86_64; sl-SI) Presto/2.9.178 Version/10.00,6,10,8,2015-02-17 22:27:04,1
17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/5362 (KHTML, like Gecko) Chrome/15.0.896.0 Safari/5362",6,10,7,2015-01-31 06:28:02,8
18,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-05-10 08:20:45 Firefox/3.8,3,10,2,2015-02-04 23:42:51,2
19,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5310 (KHTML, like Gecko) Chrome/13.0.866.0 Safari/5310",1,10,2,2015-02-17 06:12:50,10
20,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5352 (KHTML, like Gecko) Chrome/14.0.802.0 Safari/5352",5,10,4,2015-02-23 05:37:53,6
21,Opera/9.39.(X11; Linux x86_64; sl-SI) Presto/2.9.160 Version/11.00,8,10,7,2015-01-29 13:34:49,10
22,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3; rv:1.9.4.20) Gecko/2012-04-23 16:48:44 Firefox/12.0,4,10,1,2015-02-10 12:05:21,5
23,Mozilla/5.0 (Windows 98; Win 9x 4.90; sl-SI; rv:1.9.1.20) Gecko/2012-03-07 16:33:25 Firefox/3.6.20,6,10,8,2015-01-27 23:26:28,9
24,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_9; rv:1.9.5.20) Gecko/2011-05-21 03:00:29 Firefox/3.6.8,9,10,6,2015-02-16 20:07:49,7
25,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),4,10,7,2015-02-05 14:40:45,3
26,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; en-US) AppleWebKit/532.35.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.35.2",0,10,4,2015-01-28 19:57:28,1
27,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_9; rv:1.9.2.20) Gecko/2011-05-31 15:10:42 Firefox/3.8,7,10,1,2015-02-23 16:22:48,2
28,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_3; rv:1.9.5.20) Gecko/2013-08-09 00:14:52 Firefox/11.0,4,10,4,2015-02-18 06:29:53,7
29,Opera/8.67.(Windows NT 5.01; it-IT) Presto/2.9.164 Version/11.00,9,10,4,2015-01-26 08:46:04,3
30,Mozilla/5.0 (Windows NT 5.0; en-US; rv:1.9.1.20) Gecko/2011-07-28 02:13:55 Firefox/3.8,8,10,6,2015-02-06 07:45:14,10
31,Opera/8.42.(X11; Linux i686; en-US) Presto/2.9.169 Version/12.00,2,10,3,2015-01-31 13:26:34,8
32,Opera/9.19.(X11; Linux x86_64; it-IT) Presto/2.9.164 Version/11.00,5,10,10,2015-02-09 06:44:34,7
33,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-04-02 16:08:56 Firefox/3.8,6,10,4,2015-01-29 15:56:48,5
34,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_1 rv:2.0; en-US) AppleWebKit/533.8.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.8.3",4,10,8,2015-02-24 22:49:56,5
35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5340 (KHTML, like Gecko) Chrome/14.0.825.0 Safari/5340",6,10,2,2015-01-31 01:35:51,4
36,Opera/8.14.(X11; Linux i686; sl-SI) Presto/2.9.173 Version/10.00,2,10,4,2015-02-03 02:55:53,1
37,Opera/8.66.(X11; Linux i686; en-US) Presto/2.9.163 Version/10.00,1,10,3,2015-01-27 19:02:59,6
38,Opera/8.75.(Windows CE; en-US) Presto/2.9.180 Version/11.00,4,10,5,2015-02-10 19:19:37,2
39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5311 (KHTML, like Gecko) Chrome/13.0.875.0 Safari/5311",0,10,7,2015-02-06 08:07:08,5
40,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1; rv:1.9.2.20) Gecko/2013-07-07 09:19:54 Firefox/7.0,4,10,4,2015-02-02 02:00:54,4
41,"Mozilla/5.0 (Windows 95) AppleWebKit/5322 (KHTML, like Gecko) Chrome/14.0.893.0 Safari/5322",6,10,3,2015-02-09 05:44:13,9
42,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5 rv:3.0; en-US) AppleWebKit/531.17.2 (KHTML, like Gecko) Version/4.0 Safari/531.17.2",4,10,1,2015-02-05 02:12:25,8
43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/5312 (KHTML, like Gecko) Chrome/14.0.823.0 Safari/5312",9,10,6,2015-02-15 08:24:30,3
44,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),4,10,4,2015-01-28 06:25:26,9
45,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0),6,10,8,2015-02-17 17:47:04,7
46,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/4.1),5,10,4,2015-02-18 03:37:05,7
47,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5 rv:6.0; it-IT) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/4.0.3 Safari/531.13.4",8,10,7,2015-02-24 01:19:38,4
